"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
202 0.654916551096018 -1 41 "GO:0000002" "obsolete mitochondrial genome maintenance" 0.867983100169201
-59 0.960217838256072 4 6 "GO:0000012" "single strand break repair" 0.985538921002665
18 0.951590731140415 4 92 "GO:0000018" "regulation of DNA recombination" 0.98212970383367
386 0.673241431533797 5 10 "GO:0000019" "regulation of mitotic recombination" 0.878077449854207
487 0.576675500287056 2 11 "GO:0000022" "mitotic spindle elongation" 0.820996660462473
-1472 0.00831830507232861 3 27 "GO:0000027" "ribosomal large subunit assembly" 0.0971131535190423
-1553 0.0229715718254797 2 18 "GO:0000028" "ribosomal small subunit assembly" 0.170435108251894
-542 0.427291072547684 3 18 "GO:0000038" "very long-chain fatty acid metabolic process" 0.726415326231326
434 0.102524989191681 3 120 "GO:0000041" "transition metal ion transport" 0.383404836756438
-579 0.548933574176676 2 9 "GO:0000050;GO:0019627;GO:0071941;GO:0006526" "urea cycle" 0.803845314640551
-1311 0.200292744253697 2 8 "GO:0000052;GO:0019240" "citrulline metabolic process" 0.535372761921298
-1663 0.0317025040744498 4 14 "GO:0000054;GO:0033750;GO:0071428" "obsolete rRNA-containing ribonucleoprotein complex export from nucleus" 0.20759791263261
-2170 0.0473708060102532 5 7 "GO:0000055" "ribosomal large subunit export from nucleus" 0.255392180790423
-85 0.88406156309172 -1 25 "GO:0000060" "obsolete protein import into nucleus, translocation" 0.96207590596222
-211 0.291053777594271 4 214 "GO:0000070;GO:0000819;GO:0140014" "mitotic nuclear division" 0.622857064355616
-38 0.951819922389583 7 21 "GO:0000076" "DNA replication checkpoint signaling" 0.98212970383367
-778 0.030836969841274 2 65 "GO:0000079;GO:1904029" "obsolete regulation of cyclin-dependent protein kinase activity" 0.205706080603696
-870 0.000473475872984631 5 137 "GO:0000082;GO:0044843" "cell cycle G1/S phase transition" 0.0156616941110697
-1379 0.00915252714269307 -1 30 "GO:0000083" "obsolete regulation of transcription involved in G1/S transition of mitotic cell cycle" 0.102790105078454
177 0.5299224009509 2 107 "GO:0000086;GO:0044839" "cell cycle G2/M phase transition" 0.792450475262342
-268 0.534792883800597 2 45 "GO:0000096" "sulfur amino acid metabolic process" 0.794847847494044
212 0.7493003055192 2 19 "GO:0000097;GO:0009086" "sulfur amino acid biosynthetic process" 0.908342477639328
-948 0.164814604279744 3 18 "GO:0000098" "sulfur amino acid catabolic process" 0.485274711071235
-895 0.328273253199614 2 10 "GO:0000101;GO:0015811" "sulfur amino acid transport" 0.650951808578367
137 0.900348092901878 3 7 "GO:0000103;GO:0006068;GO:0018960" "sulfate assimilation" 0.964430888517427
108 0.387327738343657 2 571 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 0.698840473358115
-1342 0.00992031639429898 2 31 "GO:0000154" "rRNA modification" 0.106246086711961
191 0.284049569117215 2 270 "GO:0000165" "MAPK cascade" 0.619485336970168
413 0.686413852534668 2 8 "GO:0000183;GO:0140718" "rDNA heterochromatin formation" 0.884961572730216
-1299 3.07596888236119e-05 3 87 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.00227156725254371
-362 0.652098378320089 -1 13 "GO:0000185" "obsolete activation of MAPKKK activity" 0.866599037604287
374 0.377018442402168 -1 47 "GO:0000186" "obsolete activation of MAPKK activity" 0.68964404599544
421 0.103004520054217 -1 127 "GO:0000187" "obsolete activation of MAPK activity" 0.383753399626451
-1984 0.0176050567235832 -1 12 "GO:0000188" "obsolete inactivation of MAPK activity" 0.147311877801682
476 0.0136858793332366 9 230 "GO:0000209" "protein polyubiquitination" 0.126018134184733
112 0.75249353138749 2 67 "GO:0000212" "meiotic spindle organization" 0.909908006870171
-70 0.585688230270957 2 536 "GO:0000226" "microtubule cytoskeleton organization" 0.824891356579408
2 0.99797240998307 4 13 "GO:0000244" "spliceosomal tri-snRNP complex assembly" 0.999274323345427
1440 0.000266253657208726 2 54 "GO:0000245" "spliceosomal complex assembly" 0.0103286987443767
-702 0.290876232607108 2 19 "GO:0000266" "mitochondrial fission" 0.622857064355616
-416 0.358575489857086 4 41 "GO:0000271;GO:0033692;GO:0034637" "obsolete cellular carbohydrate biosynthetic process" 0.673561945011048
-157 0.138267753015397 3 808 "GO:0000278;GO:1903047" "mitotic cell cycle" 0.444506542737257
-183 0.206236975295726 2 416 "GO:0000280;GO:0048285" "organelle fission" 0.540212888192319
-347 0.188286889831297 2 122 "GO:0000281" "mitotic cytokinesis" 0.522644247079793
395 0.316796064291248 4 54 "GO:0000288" "nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay" 0.642470226260795
1826 0.00482202323193458 3 20 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 0.0693519515921465
-277 0.774131036701737 3 9 "GO:0000290" "deadenylation-dependent decapping of nuclear-transcribed mRNA" 0.918341758268242
378 0.422145190207796 -1 38 "GO:0000291;GO:0043928" "obsolete nuclear-transcribed mRNA catabolic process, exonucleolytic" 0.725147771090841
-2089 0.106587346428055 2 5 "GO:0000301" "retrograde transport, vesicle recycling within Golgi" 0.389267531434489
91 0.655136527453483 2 204 "GO:0000302" "response to reactive oxygen species" 0.868059829950894
-354 0.549081942218649 6 24 "GO:0000303;GO:0000305" "response to oxygen radical" 0.80387722799231
-1744 0.11098458031903 3 7 "GO:0000320;GO:0044337" "canonical Wnt signaling pathway involved in positive regulation of apoptotic process" 0.396836042209186
589 0.46340051048691 -1 13 "GO:0000335;GO:0000337" "obsolete negative regulation of transposition, DNA-mediated" 0.750784693886491
-883 0.334915201434166 8 10 "GO:0000338" "protein deneddylation" 0.654073322358053
2687 0.00536220325299071 5 9 "GO:0000354" "cis assembly of pre-catalytic spliceosome" 0.0743566656326288
101 0.484536877861737 2 420 "GO:0000375;GO:0008380;GO:0000377;GO:0000398;GO:0006397" "mRNA processing" 0.762642155501111
1076 0.164416297908279 6 14 "GO:0000380" "alternative mRNA splicing, via spliceosome" 0.484326487947811
775 0.00973117754976121 2 94 "GO:0000381;GO:0048024" "regulation of mRNA splicing, via spliceosome" 0.105644886022038
-221 0.605273581149001 2 46 "GO:0000387" "spliceosomal snRNP assembly" 0.83694589894999
577 0.573040369752087 2 8 "GO:0000389" "mRNA 3'-splice site recognition" 0.819126578504503
-1312 0.267062558655241 5 6 "GO:0000393" "spliceosomal conformational changes to generate catalytic conformation" 0.602955673664926
-605 0.451499574941157 3 13 "GO:0000394;GO:0006388" "RNA splicing, via endonucleolytic cleavage and ligation" 0.743754156409339
871 0.394893208449533 2 8 "GO:0000395" "mRNA 5'-splice site recognition" 0.705044231942219
-1249 0.0119819829370872 3 34 "GO:0000413;GO:0018208" "peptidyl-proline modification" 0.116535334813845
-457 0.698877409119935 -1 6 "GO:0000414" "obsolete regulation of histone H3-K36 methylation" 0.889136703790206
290 0.548259472436109 2 36 "GO:0000422;GO:0061726" "autophagy of mitochondrion" 0.803556996434124
1175 0.178445111194314 2 11 "GO:0000423" "mitophagy" 0.505713922889375
-2352 0.0148042863790497 3 9 "GO:0000447" "endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.133502075874779
-1944 0.133143707675467 2 5 "GO:0000454" "snoRNA guided rRNA pseudouridine synthesis" 0.437000355269711
735 0.53418311912814 3 6 "GO:0000459;GO:0000467" "exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.794566027509637
