"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
313 0.52014433104081 -1 41 "GO:0000002" "obsolete mitochondrial genome maintenance" 0.826181999584041
-402 0.715046208078455 4 8 "GO:0000012" "single strand break repair" 0.901269294603297
-342 0.257250574754276 4 107 "GO:0000018" "regulation of DNA recombination" 0.64692490643052
214 0.804050267384614 5 13 "GO:0000019" "regulation of mitotic recombination" 0.940191360474959
221 0.813918988439809 2 11 "GO:0000022" "mitotic spindle elongation" 0.942832580399172
898 0.114529280510197 3 30 "GO:0000027" "ribosomal large subunit assembly" 0.469625750271631
849 0.23454925340009 2 19 "GO:0000028" "ribosomal small subunit assembly" 0.627402521794057
654 0.372994097432664 3 18 "GO:0000038" "very long-chain fatty acid metabolic process" 0.736222857965129
415 0.130767394265639 3 130 "GO:0000041" "transition metal ion transport" 0.495636935719853
188 0.856382215877356 2 9 "GO:0000050;GO:0019627;GO:0071941;GO:0006526" "urea cycle" 0.960168092779017
930 0.397892770265318 2 8 "GO:0000052;GO:0019240" "citrulline metabolic process" 0.754782244071925
-2036 0.0144174333057904 4 14 "GO:0000054;GO:0033750;GO:0071428" "obsolete rRNA-containing ribonucleoprotein complex export from nucleus" 0.219111197897656
-2653 0.0241058366187801 5 7 "GO:0000055" "ribosomal large subunit export from nucleus" 0.268294930968893
-572 0.358663266460686 -1 25 "GO:0000060" "obsolete protein import into nucleus, translocation" 0.725601034903978
-306 0.138340096696335 4 232 "GO:0000070;GO:0000819;GO:0140014" "mitotic nuclear division" 0.50694633608978
107 0.872284778945973 7 22 "GO:0000076" "DNA replication checkpoint signaling" 0.965318245930381
-744 0.0462395191571277 2 70 "GO:0000079;GO:1904029" "obsolete regulation of cyclin-dependent protein kinase activity" 0.3421974315895
-568 0.033693434552627 5 137 "GO:0000082;GO:0044843" "cell cycle G1/S phase transition" 0.303941989803729
-941 0.0981107957504294 -1 30 "GO:0000083" "obsolete regulation of transcription involved in G1/S transition of mitotic cell cycle" 0.449998502080499
-289 0.336426383812609 2 108 "GO:0000086;GO:0044839" "cell cycle G2/M phase transition" 0.712276004174688
371 0.414344408393608 2 47 "GO:0000096" "sulfur amino acid metabolic process" 0.762380203268102
388 0.577243974295828 2 20 "GO:0000097;GO:0009086" "sulfur amino acid biosynthetic process" 0.850511316107785
697 0.342525690837706 3 18 "GO:0000098" "sulfur amino acid catabolic process" 0.716929789608892
-1563 0.112257241945048 2 10 "GO:0000101;GO:0015811" "sulfur amino acid transport" 0.468025028855906
