"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
802 0.0916025330535349 -1 41 "GO:0000002" "obsolete mitochondrial genome maintenance" 0.335684025412754
549 0.632690160153662 4 7 "GO:0000012" "single strand break repair" 0.845947434493423
155 0.60749042575974 4 102 "GO:0000018" "regulation of DNA recombination" 0.830017749172989
-106 0.900014321610524 5 13 "GO:0000019" "regulation of mitotic recombination" 0.964017152444961
588 0.521656660434176 2 11 "GO:0000022" "mitotic spindle elongation" 0.783039125056622
2317 3.04085357168364e-05 3 30 "GO:0000027" "ribosomal large subunit assembly" 0.00160183378371382
3227 6.7907398272022e-06 2 18 "GO:0000028" "ribosomal small subunit assembly" 0.000500563385193652
742 0.300891089719554 3 18 "GO:0000038" "very long-chain fatty acid metabolic process" 0.616107791522438
-227 0.404474889244441 3 126 "GO:0000041" "transition metal ion transport" 0.697223592541218
-263 0.795342260296369 2 9 "GO:0000050;GO:0019627;GO:0071941;GO:0006526" "urea cycle" 0.922447654293237
488 0.650148876625659 2 8 "GO:0000052;GO:0019240" "citrulline metabolic process" 0.853536299759809
-766 0.345871707007318 4 14 "GO:0000054;GO:0033750;GO:0071428" "obsolete rRNA-containing ribonucleoprotein complex export from nucleus" 0.648059031973002
-1258 0.273585750406413 5 7 "GO:0000055" "ribosomal large subunit export from nucleus" 0.588004313463107
13 0.982339042563998 -1 25 "GO:0000060" "obsolete protein import into nucleus, translocation" 0.991674921477751
406 0.0468358172408118 4 226 "GO:0000070;GO:0000819;GO:0140014" "mitotic nuclear division" 0.232984663110247
737 0.256103428746988 7 22 "GO:0000076" "DNA replication checkpoint signaling" 0.568419913587657
596 0.104687164780843 2 69 "GO:0000079;GO:1904029" "obsolete regulation of cyclin-dependent protein kinase activity" 0.361918483956629
685 0.00877490370866046 5 137 "GO:0000082;GO:0044843" "cell cycle G1/S phase transition" 0.0853664673909034
1055 0.0575733213913528 -1 30 "GO:0000083" "obsolete regulation of transcription involved in G1/S transition of mitotic cell cycle" 0.261115777993455
205 0.487510989608914 2 107 "GO:0000086;GO:0044839" "cell cycle G2/M phase transition" 0.758415465457017
561 0.2170271280166 2 45 "GO:0000096" "sulfur amino acid metabolic process" 0.521076365395154
781 0.263308082075465 2 19 "GO:0000097;GO:0009086" "sulfur amino acid biosynthetic process" 0.577821322598433
1771 0.0135061320931427 3 18 "GO:0000098" "sulfur amino acid catabolic process" 0.11181440624686
767 0.424904532732103 2 10 "GO:0000101;GO:0015811" "sulfur amino acid transport" 0.714824965480319
-560 0.506508607448964 3 13 "GO:0000103;GO:0006068;GO:0034310;GO:0018960" "primary alcohol catabolic process" 0.772838377247253
-91 0.478818515786033 2 598 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 0.754092127145341
672 0.211768585995624 2 32 "GO:0000154" "rRNA modification" 0.514801260288813
-873 1.24008441300337e-06 2 293 "GO:0000165" "MAPK cascade" 0.0001170223252925
913 0.367515946987206 2 9 "GO:0000183;GO:0140718" "rDNA heterochromatin formation" 0.664008689265109
3114 1.79284571554476e-21 3 87 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 1.91625326229809e-18
-189 0.822485042310898 -1 13 "GO:0000185" "obsolete activation of MAPKKK activity" 0.934422196105659
-930 0.0384133146163532 -1 46 "GO:0000186" "obsolete activation of MAPKK activity" 0.206332536423742
-994 0.000168454626998521 -1 134 "GO:0000187" "obsolete activation of MAPK activity" 0.00559740685461925
22 0.977441858018015 -1 16 "GO:0000188" "obsolete inactivation of MAPK activity" 0.989556358790617
-24 0.902605898543632 9 238 "GO:0000209" "protein polyubiquitination" 0.964413799960065
311 0.404213313534412 2 67 "GO:0000212" "meiotic spindle organization" 0.697208170977995
57 0.668336335604464 2 549 "GO:0000226" "microtubule cytoskeleton organization" 0.862382478919804
1016 0.228511149066241 4 13 "GO:0000244" "spliceosomal tri-snRNP complex assembly" 0.535462325449623
-932 0.0220338901911318 2 56 "GO:0000245" "spliceosomal complex assembly" 0.150542746264966
605 0.385805799529548 2 19 "GO:0000266" "mitochondrial fission" 0.683657061241864
36 0.93883164696665 4 42 "GO:0000271;GO:0033692;GO:0034637" "obsolete cellular carbohydrate biosynthetic process" 0.977669429358762
62 0.570594995199778 3 838 "GO:0000278;GO:1903047" "mitotic cell cycle" 0.810911257831128
433 0.00369080312403899 2 433 "GO:0000280;GO:0048285" "organelle fission" 0.0487304807424157
622 0.0217892395703986 2 127 "GO:0000281" "mitotic cytokinesis" 0.149262956245078
357 0.381037798277394 4 56 "GO:0000288" "nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay" 0.679270608818167
121 0.851689315720058 3 22 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 0.946767254590866
586 0.542035831566291 3 10 "GO:0000290" "deadenylation-dependent decapping of nuclear-transcribed mRNA" 0.795076804170774
-36 0.939753433362033 -1 41 "GO:0000291;GO:0043928" "obsolete nuclear-transcribed mRNA catabolic process, exonucleolytic" 0.977669429358762
-1471 0.279360631279858 2 5 "GO:0000301" "retrograde transport, vesicle recycling within Golgi" 0.593225075628387
380 0.0612057694209763 2 229 "GO:0000302" "response to reactive oxygen species" 0.268844246093645
760 0.221320775794379 6 24 "GO:0000303;GO:0000305" "response to oxygen radical" 0.526653111380094
1552 0.176741259389532 3 7 "GO:0000320;GO:0044337" "canonical Wnt signaling pathway involved in positive regulation of apoptotic process" 0.474093222525351
930 0.1946487294107 -1 18 "GO:0000335;GO:0000337" "obsolete negative regulation of transposition, DNA-mediated" 0.493914804226037
1645 0.087203889643464 8 10 "GO:0000338" "protein deneddylation" 0.329688569603841
-681 0.457705725522395 5 11 "GO:0000354" "cis assembly of pre-catalytic spliceosome" 0.740864067927687
-112 0.455648715525479 2 427 "GO:0000375;GO:0008380;GO:0000377;GO:0000398;GO:0006397" "mRNA processing" 0.739972700544891
-1178 0.147108783885357 6 14 "GO:0000380" "alternative mRNA splicing, via spliceosome" 0.435955929323842
-706 0.0241250695637241 2 95 "GO:0000381;GO:0048024" "regulation of mRNA splicing, via spliceosome" 0.15707012295651
683 0.124071282165283 2 47 "GO:0000387" "spliceosomal snRNP assembly" 0.398831645376421
-984 0.36008741659737 2 8 "GO:0000389" "mRNA 3'-splice site recognition" 0.659029852351294
2358 0.0574602581259384 5 6 "GO:0000393" "spliceosomal conformational changes to generate catalytic conformation" 0.260980854132019
105 0.901098651335942 3 13 "GO:0000394;GO:0006388" "RNA splicing, via endonucleolytic cleavage and ligation" 0.964088363533099
-795 0.459687101833154 2 8 "GO:0000395" "mRNA 5'-splice site recognition" 0.742184273651555
-776 0.137398625073776 3 34 "GO:0000413;GO:0018208" "peptidyl-proline modification" 0.419944515069777
-33 0.978722462031683 -1 6 "GO:0000414" "obsolete regulation of histone H3-K36 methylation" 0.989991663881575
516 0.309197112116547 2 36 "GO:0000422;GO:0061726" "autophagy of mitochondrion" 0.621203345865732
-375 0.682516102007246 2 11 "GO:0000423" "mitophagy" 0.86774762929674
362 0.720657821256343 3 9 "GO:0000447" "endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.886998019810612
1011 0.415554033116489 2 6 "GO:0000454" "snoRNA guided rRNA pseudouridine synthesis" 0.707445716585093
-389 0.753979554432638 3 6 "GO:0000459;GO:0000467" "exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.901430067594427
-256 0.618388238141029 2 35 "GO:0000460" "maturation of 5.8S rRNA" 0.837891735865001
644 0.18103346688318 3 40 "GO:0000462" "maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.479432990284568
1787 0.0418488019529899 2 12 "GO:0000463" "maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.217308799129169
-191 0.773084419354583 2 21 "GO:0000466" "maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.911358525978114
321 0.570149934450189 -1 29 "GO:0000469" "obsolete cleavage involved in rRNA processing" 0.810911257831128
1418 0.0121026381248008 2 29 "GO:0000470" "maturation of LSU-rRNA" 0.105183357831449
368 0.588553835732498 2 20 "GO:0000479;GO:0000478" "obsolete endonucleolytic cleavage involved in rRNA processing" 0.818563380731405
-350 0.778183350188691 2 6 "GO:0000480" "endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.914511604317404
1221 0.164406904493909 2 12 "GO:0000491;GO:0000492" "small nucleolar ribonucleoprotein complex assembly" 0.458409338486712
-426 0.0575714702492408 4 187 "GO:0000578;GO:0007351;GO:0008595" "embryonic axis specification" 0.261115777993455
-381 0.664720792557278 5 12 "GO:0000706" "meiotic DNA double-strand break processing" 0.860068397985376
2049 0.0565924422501365 6 8 "GO:0000707;GO:0000730;GO:0090735;GO:0042148" "DNA recombinase assembly" 0.259048773840204
1841 0.109233721533642 5 7 "GO:0000711;GO:0043150" "meiotic DNA repair synthesis" 0.370538785485472
146 0.843621056441949 2 17 "GO:0000712" "resolution of meiotic recombination intermediates" 0.94428171139618
-218 0.731294688372103 4 23 "GO:0000715" "nucleotide-excision repair, DNA damage recognition" 0.891087371561903
24 0.93033731261818 2 119 "GO:0000723;GO:0032200" "telomere organization" 0.975073666086872
453 0.0976546589432689 5 125 "GO:0000724;GO:0000725" "recombinational repair" 0.346190894308006
-69 0.847166648991193 -1 72 "GO:0000726;GO:0006303" "obsolete non-recombinational repair" 0.945139074622758
1573 0.247286825663919 2 5 "GO:0000727" "double-strand break repair via break-induced replication" 0.556438741397443
46 0.936355701779752 5 28 "GO:0000729" "DNA double-strand break processing" 0.977669429358762
26 0.938690396619503 2 79 "GO:0000731" "DNA synthesis involved in DNA repair" 0.977669429358762
2075 0.0236462986714354 -1 11 "GO:0000733" "obsolete DNA strand renaturation" 0.155691697515313
-376 0.413309688135512 -1 44 "GO:0000737;GO:0006308;GO:0006309" "DNA catabolic process" 0.706460646186184
169 0.87530309956125 2 8 "GO:0000741;GO:0007344" "karyogamy" 0.952863482852877
-579 0.0857973082369766 3 82 "GO:0000768;GO:0006949;GO:0140253;GO:0007520" "syncytium formation" 0.328096683198408
894 0.35267483035007 2 10 "GO:0000820" "regulation of glutamine family amino acid metabolic process" 0.652916768774538
