"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
256 0.582953558309641 -1 41 "GO:0000002" "obsolete mitochondrial genome maintenance" 0.80697229959555
-233 0.836064493125354 4 7 "GO:0000012" "single strand break repair" 0.933041280027726
-1098 0.000258773288242379 4 99 "GO:0000018" "regulation of DNA recombination" 0.0078047000236876
-597 0.469578465426844 5 13 "GO:0000019" "regulation of mitotic recombination" 0.733986249980234
-612 0.495325324489784 2 11 "GO:0000022" "mitotic spindle elongation" 0.750642298275497
2070 0.000236702751166744 3 28 "GO:0000027" "ribosomal large subunit assembly" 0.00741900681843216
2240 0.00141496660139799 2 18 "GO:0000028" "ribosomal small subunit assembly" 0.0238714945892843
1594 0.0231839137761706 3 18 "GO:0000038" "very long-chain fatty acid metabolic process" 0.149132741131625
71 0.790630123644157 3 125 "GO:0000041" "transition metal ion transport" 0.913641103515584
-37 0.970363329449472 2 9 "GO:0000050;GO:0019627;GO:0071941;GO:0006526" "urea cycle" 0.987978205175147
802 0.446133225347608 2 8 "GO:0000052;GO:0019240" "citrulline metabolic process" 0.715828316906551
-128 0.872359242715601 4 14 "GO:0000054;GO:0033750;GO:0071428" "obsolete rRNA-containing ribonucleoprotein complex export from nucleus" 0.950232537976755
-131 0.907390499646578 5 7 "GO:0000055" "ribosomal large subunit export from nucleus" 0.963603197930613
-148 0.803544317559365 -1 25 "GO:0000060" "obsolete protein import into nucleus, translocation" 0.920016564329958
-785 0.000602421062516208 4 172 "GO:0000070;GO:0000819" "sister chromatid segregation" 0.0134211856227479
-598 0.346722085495505 7 22 "GO:0000076" "DNA replication checkpoint signaling" 0.636984021027649
-488 0.18102133569364 2 67 "GO:0000079;GO:1904029" "obsolete regulation of cyclin-dependent protein kinase activity" 0.469553923093361
-13 0.958631339045786 5 137 "GO:0000082;GO:0044843" "cell cycle G1/S phase transition" 0.981530526689847
366 0.5012914894697 -1 30 "GO:0000083" "obsolete regulation of transcription involved in G1/S transition of mitotic cell cycle" 0.753816148915128
-939 0.00117122304456647 2 107 "GO:0000086;GO:0044839" "cell cycle G2/M phase transition" 0.0210952116815719
1444 0.0011646888429718 2 45 "GO:0000096" "sulfur amino acid metabolic process" 0.0210367809659935
1139 0.0954918494853068 2 19 "GO:0000097;GO:0009086" "sulfur amino acid biosynthetic process" 0.336961857400139
2430 0.000536937196510313 3 18 "GO:0000098" "sulfur amino acid catabolic process" 0.0123941387526604
-546 0.561722025238273 2 10 "GO:0000101;GO:0015811" "sulfur amino acid transport" 0.792683873178883
1961 0.0480998862897302 3 9 "GO:0000103;GO:0006068;GO:0018960" "sulfate assimilation" 0.228472838660421
-195 0.12525627419831 2 582 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 0.388027430825579
1228 0.0217557143500933 2 31 "GO:0000154" "rRNA modification" 0.143636413540241
-302 0.0943237013723836 2 279 "GO:0000165" "MAPK cascade" 0.334315824043803
-647 0.51447878628576 2 9 "GO:0000183;GO:0140718" "rDNA heterochromatin formation" 0.761828939210549
2286 9.58066838160409e-13 3 87 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 2.26884420859172e-10
830 0.314615174778693 -1 13 "GO:0000185" "obsolete activation of MAPKKK activity" 0.60763909691807
-387 0.373288740767753 -1 47 "GO:0000186" "obsolete activation of MAPKK activity" 0.659339284107462
-307 0.241091544377171 -1 131 "GO:0000187" "obsolete activation of MAPK activity" 0.5413559546051
371 0.640709056213949 -1 14 "GO:0000188" "obsolete inactivation of MAPK activity" 0.837427167913326
-482 0.0145833357433709 9 233 "GO:0000209" "protein polyubiquitination" 0.112615759351586
-846 0.0193870118923037 2 68 "GO:0000212" "meiotic spindle organization" 0.133290918321925
-394 0.00261551453617437 2 546 "GO:0000226" "microtubule cytoskeleton organization" 0.0361982682777033
803 0.33086094230805 4 13 "GO:0000244" "spliceosomal tri-snRNP complex assembly" 0.621766185297209
-1406 0.000532474343297297 2 54 "GO:0000245" "spliceosomal complex assembly" 0.012380512549247
1723 0.0116885503281745 2 19 "GO:0000266" "mitochondrial fission" 0.0975438052404752
454 0.323224075505831 4 42 "GO:0000271;GO:0033692;GO:0034637" "obsolete cellular carbohydrate biosynthetic process" 0.615539868244639
-478 9.33305008722926e-06 3 827 "GO:0000278;GO:1903047" "mitotic cell cycle" 0.000580221629270782
-463 0.0016508272750059 2 427 "GO:0000280;GO:0048285" "organelle fission" 0.0265210793879089
278 0.300044272698211 2 125 "GO:0000281" "mitotic cytokinesis" 0.593745643094942
100 0.803800606042874 4 55 "GO:0000288" "nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay" 0.920016564329958
-1442 0.0264763652847599 3 21 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 0.162236906508765
-17 0.986363764864656 3 9 "GO:0000290" "deadenylation-dependent decapping of nuclear-transcribed mRNA" 0.994843877329467
450 0.339270291595669 -1 40 "GO:0000291;GO:0043928" "obsolete nuclear-transcribed mRNA catabolic process, exonucleolytic" 0.630792161809453
-180 0.892433533277064 2 5 "GO:0000301" "retrograde transport, vesicle recycling within Golgi" 0.958062460002275
260 0.203356169404843 2 217 "GO:0000302" "response to reactive oxygen species" 0.496858916186948
848 0.154533881440884 6 25 "GO:0000303;GO:0000305" "response to oxygen radical" 0.435090109173497
-1198 0.287039669794202 3 7 "GO:0000320;GO:0044337" "canonical Wnt signaling pathway involved in positive regulation of apoptotic process" 0.582090595833849
-880 0.252282182845986 -1 15 "GO:0000335;GO:0000337" "obsolete negative regulation of transposition, DNA-mediated" 0.551767698158054
311 0.741488417141413 8 10 "GO:0000338" "protein deneddylation" 0.887990600213967
-3708 0.000186683775575018 5 9 "GO:0000354" "cis assembly of pre-catalytic spliceosome" 0.00637383296034047
73 0.62177394806569 2 422 "GO:0000375;GO:0008380;GO:0000377;GO:0000398;GO:0006397" "mRNA processing" 0.826963472668785
