delta.rank	pval	level	nseqs	term	name	p.adj
-313	0.489139494713767	-1	41	GO:0000002	obsolete mitochondrial genome maintenance	0.742599516414993
1004	0.395672763968395	4	6	GO:0000012	single strand break repair	0.677595857265716
1180	9.86381949562568e-05	4	92	GO:0000018	regulation of DNA recombination	0.00244707490690307
622	0.49731793109237	5	10	GO:0000019	regulation of mitotic recombination	0.748984154699465
817	0.349323593642088	2	11	GO:0000022	mitotic spindle elongation	0.634779440120429
-1853	0.000891030797705152	3	27	GO:0000027	ribosomal large subunit assembly	0.0141445206213025
-2851	2.97447141718899e-05	2	18	GO:0000028	ribosomal small subunit assembly	0.000953415129409616
-1430	0.0362597058618742	3	18	GO:0000038	very long-chain fatty acid metabolic process	0.19031850572625
-304	0.25315679428666	3	120	GO:0000041	transition metal ion transport	0.541164187315576
982	0.308905342235335	2	9	GO:0000050;GO:0019627;GO:0071941;GO:0006526	urea cycle	0.594882875932485
1159	0.257588824799777	2	8	GO:0000052;GO:0019240	citrulline metabolic process	0.5465909209166
-77	0.921270354277799	4	14	GO:0000054;GO:0033750;GO:0071428	obsolete rRNA-containing ribonucleoprotein complex export from nucleus	0.973218233535978
291	0.790397977313412	5	7	GO:0000055	ribosomal large subunit export from nucleus	0.918399260519573
-536	0.355256444852043	-1	25	GO:0000060	obsolete protein import into nucleus, translocation	0.641522229529521
858	1.77297903272519e-05	4	214	GO:0000070;GO:0000819;GO:0140014	mitotic nuclear division	0.00061196683895857
465	0.462303404830485	7	21	GO:0000076	DNA replication checkpoint signaling	0.723709372462019
194	0.589803571233853	2	65	GO:0000079;GO:1904029	obsolete regulation of cyclin-dependent protein kinase activity	0.812723471665481
62	0.802612976850706	5	137	GO:0000082;GO:0044843	cell cycle G1/S phase transition	0.924781388965681
-697	0.187794964098798	-1	30	GO:0000083	obsolete regulation of transcription involved in G1/S transition of mitotic cell cycle	0.465710978911154
1019	0.000291721925107607	2	107	GO:0000086;GO:0044839	cell cycle G2/M phase transition	0.00603493793602089
-1603	0.00021048202574263	2	45	GO:0000096	sulfur amino acid metabolic process	0.00464156717184529
-1413	0.0335090023810279	2	19	GO:0000097;GO:0009086	sulfur amino acid biosynthetic process	0.182576939134684
-2393	0.000456693754095233	3	18	GO:0000098	sulfur amino acid catabolic process	0.00863232747696079
-67	0.941741898535121	2	10	GO:0000101;GO:0015811	sulfur amino acid transport	0.981941027351265
-1364	0.212760447612102	3	7	GO:0000103;GO:0006068;GO:0018960	sulfate assimilation	0.495926955897388
112	0.369197998137512	2	571	GO:0000122	negative regulation of transcription by RNA polymerase II	0.654965498930541
-687	0.1868499717919	2	31	GO:0000154	rRNA modification	0.464086565268124
149	0.403821523582561	2	270	GO:0000165	MAPK cascade	0.68335524524433
1820	0.0754845783848543	2	8	GO:0000183;GO:0140718	rDNA heterochromatin formation	0.294278372257646
-2185	2.35416897886773e-12	3	87	GO:0000184	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	3.47705283367185e-10
-1016	0.205701241989917	-1	13	GO:0000185	obsolete activation of MAPKKK activity	0.490393614068304
210	0.619130349944826	-1	47	GO:0000186	obsolete activation of MAPKK activity	0.831134401289281
470	0.068935857185407	-1	127	GO:0000187	obsolete activation of MAPK activity	0.279551055296952
121	0.885130673146454	-1	12	GO:0000188	obsolete inactivation of MAPK activity	0.959748045998462
773	6.22618210740147e-05	9	230	GO:0000209	protein polyubiquitination	0.00174966737009322
423	0.232658370305426	2	67	GO:0000212	meiotic spindle organization	0.518278958193532
982	2.11745651706212e-14	2	536	GO:0000226	microtubule cytoskeleton organization	3.95528421760633e-12
363	0.650923790526809	4	13	GO:0000244	spliceosomal tri-snRNP complex assembly	0.851496806104174
1428	0.000298138115744642	2	54	GO:0000245	spliceosomal complex assembly	0.0061079844293362
-1190	0.0733544653032506	2	19	GO:0000266	mitochondrial fission	0.289362862820462
-244	0.590762401164751	4	41	GO:0000271;GO:0033692;GO:0034637	obsolete cellular carbohydrate biosynthetic process	0.81275128836284
560	1.35434212006093e-07	3	808	GO:0000278;GO:1903047	mitotic cell cycle	9.66452449944603e-06
778	7.85728510878507e-08	2	416	GO:0000280;GO:0048285	organelle fission	5.94066877689214e-06
-477	0.070270203817943	2	122	GO:0000281	mitotic cytokinesis	0.28299687029027
204	0.60476257130156	4	54	GO:0000288	nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay	0.821249675603286
1713	0.00819753864452751	3	20	GO:0000289	nuclear-transcribed mRNA poly(A) tail shortening	0.0718253861257434
716	0.458289969237423	3	9	GO:0000290	deadenylation-dependent decapping of nuclear-transcribed mRNA	0.722678033881948
-150	0.750230165244267	-1	38	GO:0000291;GO:0043928	obsolete nuclear-transcribed mRNA catabolic process, exonucleolytic	0.901212744366624
729	0.573540953899924	2	5	GO:0000301	retrograde transport, vesicle recycling within Golgi	0.801868334676377
-674	0.000991547302403605	2	204	GO:0000302	response to reactive oxygen species	0.0151638279403966
-1628	0.00592091225506916	6	24	GO:0000303;GO:0000305	response to oxygen radical	0.0568891281875102
-131	0.904589888806952	3	7	GO:0000320;GO:0044337	canonical Wnt signaling pathway involved in positive regulation of apoptotic process	0.967048794532552
1204	0.133804656232708	-1	13	GO:0000335;GO:0000337	obsolete negative regulation of transposition, DNA-mediated	0.393605081859161
-478	0.601704899789264	8	10	GO:0000338	protein deneddylation	0.820048888103351
3809	7.94531753490798e-05	5	9	GO:0000354	cis assembly of pre-catalytic spliceosome	0.0021113268478745
780	6.362189920378e-08	2	420	GO:0000375;GO:0008380;GO:0000377;GO:0000398;GO:0006397	mRNA processing	4.86822508244827e-06
830	0.283713438326958	6	14	GO:0000380	alternative mRNA splicing, via spliceosome	0.571696239343529
1002	0.000831614553572476	2	94	GO:0000381;GO:0048024	regulation of mRNA splicing, via spliceosome	0.0135110553797394
303	0.479382601289003	2	46	GO:0000387	spliceosomal snRNP assembly	0.735400700673058
504	0.622399688733372	2	8	GO:0000389	mRNA 3'-splice site recognition	0.832767643413054
-194	0.869593880490313	5	6	GO:0000393	spliceosomal conformational changes to generate catalytic conformation	0.954300139585727
-430	0.592154961684148	3	13	GO:0000394;GO:0006388	RNA splicing, via endonucleolytic cleavage and ligation	0.813446514815214
779	0.446686080869076	2	8	GO:0000395	mRNA 5'-splice site recognition	0.712610725847652
-815	0.101304636682851	3	34	GO:0000413;GO:0018208	peptidyl-proline modification	0.341318698977606
1704	0.14929923853835	-1	6	GO:0000414	obsolete regulation of histone H3-K36 methylation	0.415943571105606
-159	0.742775473071748	2	36	GO:0000422;GO:0061726	autophagy of mitochondrion	0.898032939173553
513	0.556982245965472	2	11	GO:0000423	mitophagy	0.791717601639819
-661	0.493651621544252	3	9	GO:0000447	endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	0.746427500213853
-1768	0.171952155536865	2	5	GO:0000454	snoRNA guided rRNA pseudouridine synthesis	0.444834272836916
-2077	0.0788773897750513	3	6	GO:0000459;GO:0000467	exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	0.300329917542776
-584	0.23993483802111	2	34	GO:0000460	maturation of 5.8S rRNA	0.527786412102825
167	0.714993272436633	3	40	GO:0000462	maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	0.886535865913219
-1616	0.0642433165997509	2	11	GO:0000463	maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	0.268406788877467
-866	0.170665005086405	2	21	GO:0000466	maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	0.442322411790955
102	0.851981291494737	-1	28	GO:0000469	obsolete cleavage involved in rRNA processing	0.948062726852358
-1295	0.0202733493791121	2	27	GO:0000470	maturation of LSU-rRNA	0.133758711978472
779	0.24114709862534	2	19	GO:0000479;GO:0000478	obsolete endonucleolytic cleavage involved in rRNA processing	0.528659034646025
-233	0.843787181820838	2	6	GO:0000480	endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)	0.944791668587027
-1194	0.15312941482716	2	12	GO:0000491;GO:0000492	small nucleolar ribonucleoprotein complex assembly	0.420822429382968
249	0.257348851061655	4	176	GO:0000578;GO:0007351;GO:0008595	embryonic axis specification	0.546264222290298
2835	0.000696537585579396	5	12	GO:0000706	meiotic DNA double-strand break processing	0.0119237471860236
1904	0.107260336253779	5	6	GO:0000711;GO:0043150	DNA synthesis involved in double-strand break repair via homologous recombination	0.351501752088622
1745	0.0159807887635623	2	16	GO:0000712	resolution of meiotic recombination intermediates	0.113909881769847
-499	0.419333803876368	4	22	GO:0000715	nucleotide-excision repair, DNA damage recognition	0.694261988638898
1315	0.0541247007280558	3	18	GO:0000722	telomere maintenance via recombination	0.242587137843248
754	0.00632191935760593	2	111	GO:0000723;GO:0032200	telomere organization	0.0593942453256735
993	0.000188068614655697	5	120	GO:0000724;GO:0000725	recombinational repair	0.00426579918456547
1383	8.58735464574621e-05	-1	68	GO:0000726;GO:0006303	obsolete non-recombinational repair	0.00224828480372373
-547	0.672434332398824	2	5	GO:0000727	double-strand break repair via break-induced replication	0.865375976710219
1813	0.00114837559482965	5	27	GO:0000729	DNA double-strand break processing	0.0171607844770897
428	0.64029230975724	5	10	GO:0000730;GO:0090735;GO:0042148;GO:0000707	DNA recombinase assembly	0.843671464578471
510	0.131183417134972	2	74	GO:0000731	DNA synthesis involved in DNA repair	0.389867048303326
