"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
387 0.414858397283768 -1 41 "GO:0000002" "obsolete mitochondrial genome maintenance" 0.670059485368724
507 0.658275858905367 4 7 "GO:0000012" "single strand break repair" 0.838292555387128
807 0.00719754519502838 4 103 "GO:0000018" "regulation of DNA recombination" 0.0593658708438266
1093 0.194051927942602 5 13 "GO:0000019" "regulation of mitotic recombination" 0.453305868805124
1359 0.137441137094964 2 11 "GO:0000022" "mitotic spindle elongation" 0.374970339085071
-154 0.781248511752333 3 30 "GO:0000027" "ribosomal large subunit assembly" 0.899844179574333
-1277 0.0742967239735362 2 18 "GO:0000028" "ribosomal small subunit assembly" 0.263987861427565
-519 0.468530607617919 3 18 "GO:0000038" "very long-chain fatty acid metabolic process" 0.711243360551721
-366 0.176063931194037 3 127 "GO:0000041" "transition metal ion transport" 0.429728242945791
1482 0.142746163680661 2 9 "GO:0000050;GO:0019627;GO:0071941;GO:0006526" "urea cycle" 0.382944035258696
2663 0.0130445682460122 2 8 "GO:0000052;GO:0019240" "citrulline metabolic process" 0.0856226723487784
-815 0.31481011454807 4 14 "GO:0000054;GO:0033750;GO:0071428" "obsolete rRNA-containing ribonucleoprotein complex export from nucleus" 0.584755539829241
-826 0.471271338033737 5 7 "GO:0000055" "ribosomal large subunit export from nucleus" 0.713579088287515
-517 0.394179294218431 -1 25 "GO:0000060" "obsolete protein import into nucleus, translocation" 0.655297546891107
884 0.000156446664061481 4 171 "GO:0000070;GO:0000819" "sister chromatid segregation" 0.00372595065446199
725 0.262797179700876 7 22 "GO:0000076" "DNA replication checkpoint signaling" 0.530304874886956
391 0.278437481359463 2 71 "GO:0000079;GO:1904029" "obsolete regulation of cyclin-dependent protein kinase activity" 0.547406041018282
439 0.0932871716382032 5 136 "GO:0000082;GO:0044843" "cell cycle G1/S phase transition" 0.300664882170944
-221 0.695497700522744 -1 29 "GO:0000083" "obsolete regulation of transcription involved in G1/S transition of mitotic cell cycle" 0.858766354484212
954 0.00121482671478526 2 107 "GO:0000086;GO:0044839" "cell cycle G2/M phase transition" 0.0169735468670876
-1153 0.0118885324799825 2 44 "GO:0000096" "sulfur amino acid metabolic process" 0.080643459750579
-1025 0.141201041726858 2 19 "GO:0000097;GO:0009086" "sulfur amino acid biosynthetic process" 0.380229578162504
-1023 0.152955090751697 3 18 "GO:0000098" "sulfur amino acid catabolic process" 0.397110706362269
-498 0.604044475520379 2 10 "GO:0000101;GO:0015811" "sulfur amino acid transport" 0.804759744747465
-730 0.385702464457026 3 13 "GO:0000103;GO:0006068;GO:0034310;GO:0018960" "primary alcohol catabolic process" 0.648428796023248
77 0.549237398805164 2 597 "GO:0000122" "negative regulation of transcription by RNA polymerase II" 0.771545171402351
362 0.499707406773729 2 32 "GO:0000154" "rRNA modification" 0.734808177238624
-410 0.0222549791830516 2 294 "GO:0000165" "MAPK cascade" 0.121540596951185
2022 0.0456190679250134 2 9 "GO:0000183;GO:0140718" "rDNA heterochromatin formation" 0.193481532633715
-207 0.526224468249751 3 87 "GO:0000184" "nuclear-transcribed mRNA catabolic process, nonsense-mediated decay" 0.754251153173699
-706 0.401891323865054 -1 13 "GO:0000185" "obsolete activation of MAPKKK activity" 0.660754854056894
-369 0.410147278692817 -1 46 "GO:0000186" "obsolete activation of MAPKK activity" 0.667712336446484
-127 0.630617155873096 -1 134 "GO:0000187" "obsolete activation of MAPK activity" 0.821158743757641
171 0.822241713231168 -1 16 "GO:0000188" "obsolete inactivation of MAPK activity" 0.92050332760021
758 0.000134353873841823 9 239 "GO:0000209" "protein polyubiquitination" 0.00331595695554992
33 0.929288978024803 2 67 "GO:0000212" "meiotic spindle organization" 0.971410064435052
1022 1.7388659043427e-14 2 546 "GO:0000226" "microtubule cytoskeleton organization" 1.0143911371061e-11
1137 0.176922210898457 4 13 "GO:0000244" "spliceosomal tri-snRNP complex assembly" 0.430723644090352
351 0.391618327705418 2 55 "GO:0000245" "spliceosomal complex assembly" 0.65357992428756
-178 0.79855642043979 2 19 "GO:0000266" "mitochondrial fission" 0.908248236434267
-228 0.626972047151304 4 42 "GO:0000271;GO:0033692;GO:0034637" "obsolete cellular carbohydrate biosynthetic process" 0.818904870052904
480 1.15496542012975e-05 3 833 "GO:0000278;GO:1903047" "mitotic cell cycle" 0.000497410275233061
970 8.56360166916002e-11 2 429 "GO:0000280;GO:0048285" "organelle fission" 2.27581662906075e-08
-448 0.0993412728754892 2 126 "GO:0000281" "mitotic cytokinesis" 0.312180679746334
700 0.0847961918751481 4 56 "GO:0000288" "nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay" 0.28698187664857
1886 0.00357172208998813 3 22 "GO:0000289" "nuclear-transcribed mRNA poly(A) tail shortening" 0.0368484576389933
848 0.377145581035326 3 10 "GO:0000290" "deadenylation-dependent decapping of nuclear-transcribed mRNA" 0.641375284081509
102 0.829213960370744 -1 41 "GO:0000291;GO:0043928" "obsolete nuclear-transcribed mRNA catabolic process, exonucleolytic" 0.92540277977375
374 0.782589244470843 2 5 "GO:0000301" "retrograde transport, vesicle recycling within Golgi" 0.900368473475467
-537 0.00780832353025055 2 231 "GO:0000302" "response to reactive oxygen species" 0.0620892343167507
-1150 0.0583740322921385 6 25 "GO:0000303;GO:0000305" "response to oxygen radical" 0.225610870588256
-469 0.682806397346005 3 7 "GO:0000320;GO:0044337" "canonical Wnt signaling pathway involved in positive regulation of apoptotic process" 0.8514121710327
777 0.291511202085941 -1 17 "GO:0000335;GO:0000337" "obsolete negative regulation of transposition, DNA-mediated" 0.560500136484908
365 0.703587310565406 8 10 "GO:0000338" "protein deneddylation" 0.863689166642992
920 0.337662054325967 5 10 "GO:0000354" "cis assembly of pre-catalytic spliceosome" 0.604583091351035
1125 6.69788258435457e-14 2 425 "GO:0000375;GO:0008380;GO:0000377;GO:0000398;GO:0006397" "mRNA processing" 3.30617788798487e-11
656 0.418422303918747 6 14 "GO:0000380" "alternative mRNA splicing, via spliceosome" 0.672936321866316
1081 0.00054352166519941 2 95 "GO:0000381;GO:0048024" "regulation of mRNA splicing, via spliceosome" 0.00971526051694879
1149 0.00958977052267225 2 47 "GO:0000387" "spliceosomal snRNP assembly" 0.0705887157399786
973 0.364175952068886 2 8 "GO:0000389" "mRNA 3'-splice site recognition" 0.628034690789046
1661 0.179930738282828 5 6 "GO:0000393" "spliceosomal conformational changes to generate catalytic conformation" 0.433739875116795
-88 0.916486035491583 3 13 "GO:0000394;GO:0006388" "RNA splicing, via endonucleolytic cleavage and ligation" 0.966325887149833
-38 0.97158076419033 2 8 "GO:0000395" "mRNA 5'-splice site recognition" 0.988526044681996
-672 0.196958271938527 3 34 "GO:0000413;GO:0018208" "peptidyl-proline modification" 0.457762126414172
3025 0.014608694106757 -1 6 "GO:0000414" "obsolete regulation of histone H3-K36 methylation" 0.0927240257992677
727 0.151264382811938 2 36 "GO:0000422;GO:0061726" "autophagy of mitochondrion" 0.395543416668381
1301 0.155162100576602 2 11 "GO:0000423" "mitophagy" 0.39986955799199
-506 0.616881455166536 3 9 "GO:0000447" "endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.813367857468778
-807 0.514571982765589 2 6 "GO:0000454" "snoRNA guided rRNA pseudouridine synthesis" 0.744880247033317
-1552 0.210286610778301 3 6 "GO:0000459;GO:0000467" "exonucleolytic trimming to generate mature 3'-end of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.47433470238422
-395 0.441607274227277 2 35 "GO:0000460" "maturation of 5.8S rRNA" 0.691675342620561
541 0.260463030988069 3 40 "GO:0000462" "maturation of SSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.527224022978503
-595 0.496856600182657 2 12 "GO:0000463" "maturation of LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.732612316951312
-925 0.16276468192943 2 21 "GO:0000466" "maturation of 5.8S rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.411205103913839
785 0.163795454718764 -1 29 "GO:0000469" "obsolete cleavage involved in rRNA processing" 0.412186444286396
-43 0.938765254878951 2 29 "GO:0000470" "maturation of LSU-rRNA" 0.976998618646736
1378 0.042385505166891 2 20 "GO:0000479;GO:0000478" "obsolete endonucleolytic cleavage involved in rRNA processing" 0.185025705208122
-349 0.777937416729784 2 6 "GO:0000480" "endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)" 0.898654257993704
-341 0.697501152022351 2 12 "GO:0000491;GO:0000492" "small nucleolar ribonucleoprotein complex assembly" 0.860657533280691
41 0.855440881997035 4 185 "GO:0000578;GO:0007351;GO:0008595" "embryonic axis specification" 0.937331917375441
2394 0.00444787904545399 5 13 "GO:0000706" "meiotic DNA double-strand break processing" 0.0431800905214497
-10 0.993335952502007 6 7 "GO:0000707" "meiotic DNA recombinase assembly" 0.998418384281895
4233 0.000222877258451636 5 7 "GO:0000711;GO:0043150" "meiotic DNA repair synthesis" 0.00478951025643991
1418 0.0616994726053796 2 16 "GO:0000712" "resolution of meiotic recombination intermediates" 0.233446648413161
-239 0.705543666964379 4 23 "GO:0000715" "nucleotide-excision repair, DNA damage recognition" 0.86375450265457
988 0.135779665019299 3 21 "GO:0000722" "telomere maintenance via recombination" 0.372743148445094
774 0.00564340863388828 2 119 "GO:0000723;GO:0032200" "telomere organization" 0.0510052862023396
1198 1.13116379706929e-05 5 125 "GO:0000724;GO:0000725" "recombinational repair" 0.000493787624883921
1487 3.38443313158345e-05 -1 72 "GO:0000726;GO:0006303" "obsolete non-recombinational repair" 0.00113114101069641
-720 0.595555806302855 2 5 "GO:0000727" "double-strand break repair via break-induced replication" 0.799238393979472
1892 0.000794106220837882 5 29 "GO:0000729" "DNA double-strand break processing" 0.01229757808831
788 0.411826145823006 5 10 "GO:0000730;GO:0090735;GO:0042148" "DNA recombinase assembly" 0.668358213896366
463 0.17912492335702 2 78 "GO:0000731" "DNA synthesis involved in DNA repair" 0.433188605052479
1895 0.0383003738540004 -1 11 "GO:0000733" "obsolete DNA strand renaturation" 0.175127733744267
37 0.937071557515449 -1 43 "GO:0000737;GO:0006308;GO:0006309" "DNA catabolic process" 0.976008470147157
269 0.801984415962107 2 8 "GO:0000741;GO:0007344" "karyogamy" 0.909637042363724
-1013 0.00259739524858087 3 82 "GO:0000768;GO:0006949;GO:0140253;GO:0007520" "syncytium formation" 0.0292412022984973
737 0.442731507046667 2 10 "GO:0000820" "regulation of glutamine family amino acid metabolic process" 0.692253430974284
1164 0.347353627847406 6 6 "GO:0000821" "regulation of arginine metabolic process" 0.61403931530618
-49 0.594858953046017 2 1207 "GO:0000902;GO:0000904;GO:0048812;GO:0120039;GO:0048858;GO:0031175;GO:0032990;GO:0048667" "cell morphogenesis" 0.799238393979472
-189 0.409028634539392 3 179 "GO:0000910;GO:0061640" "cytokinesis" 0.667179682700622
-1505 0.0174736443016318 2 23 "GO:0000912;GO:0000915" "assembly of actomyosin apparatus involved in cytokinesis" 0.104173480960716
423 0.659375528194433 5 10 "GO:0000916;GO:0036213" "actomyosin contractile ring contraction" 0.839193328921792
-467 0.579298596859542 2 13 "GO:0000920" "septum digestion after cytokinesis" 0.789080682667731
176 0.414133623555228 2 202 "GO:0000956;GO:0006402" "mRNA catabolic process" 0.669637463127944
770 0.214002610275184 2 24 "GO:0000959" "mitochondrial RNA metabolic process" 0.478513716190806
1100 0.229203118117682 4 11 "GO:0000963;GO:0090646" "mitochondrial RNA processing" 0.494427021356019
580 0.153531034625237 2 56 "GO:0000966" "RNA 5'-end processing" 0.397742692446567
326 0.721930159800564 4 11 "GO:0000972" "transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery" 0.875236318806011
306 0.805115865466332 2 6 "GO:0000973" "post-transcriptional tethering of RNA polymerase II gene DNA at nuclear periphery" 0.91070483142913
-646 3.81649616938715e-05 3 388 "GO:0001101" "response to acid chemical" 0.00123473717545063
219 0.82868946497045 5 9 "GO:0001109;GO:0001111;GO:0001112;GO:0001120;GO:0001113" "RNA polymerase II promoter clearance" 0.925300208233057
