	SRR14729874.clean.fastq.gz.samSYM.counts	SRR14729875.clean.fastq.gz.samSYM.counts	SRR14729876.clean.fastq.gz.samSYM.counts	SRR14729877.clean.fastq.gz.samSYM.counts	SRR14729879.clean.fastq.gz.samSYM.counts	SRR14729880.clean.fastq.gz.samSYM.counts	SRR14729882.clean.fastq.gz.samSYM.counts	SRR14729883.clean.fastq.gz.samSYM.counts	SRR14729884.clean.fastq.gz.samSYM.counts	SRR14729885.clean.fastq.gz.samSYM.counts	SRR14729886.clean.fastq.gz.samSYM.counts	SRR14729887.clean.fastq.gz.samSYM.counts	SRR14729888.clean.fastq.gz.samSYM.counts	SRR14729891.clean.fastq.gz.samSYM.counts	SRR14729892.clean.fastq.gz.samSYM.counts	
evm.model.NODE_100098_length_1590_cov_40.8455_ID_76299152.1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	
evm.model.NODE_106991_length_1456_cov_66.7995_ID_76312970.1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
evm.model.NODE_113242_length_1356_cov_30.9886_ID_76325476.1	317	319	828	705	417	811	493	181	424	126	333	359	342	269	685	
evm.model.NODE_121511_length_1242_cov_68.3103_ID_76342066.1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	
evm.model.NODE_126290_length_1185_cov_30.2382_ID_76351652.1	466	294	595	1008	597	1521	723	348	456	131	472	595	663	359	1216	
evm.model.NODE_127138_length_1176_cov_119.48_ID_76353344.1	0	8	0	0	2	1	0	0	0	0	0	0	0	0	0	
evm.model.NODE_128404_length_1162_cov_43.0174_ID_76355884.1	28	11	38	42	27	68	33	23	11	9	21	23	28	9	44	
evm.model.NODE_135362_length_1093_cov_32.1822_ID_76369818.1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	
evm.model.NODE_135975_length_1087_cov_59.9937_ID_76371052.1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	
evm.model.NODE_140950_length_1041_cov_30.279_ID_76381020.1	533	467	763	1224	736	1752	1156	381	497	176	654	712	571	343	1418	
evm.model.NODE_15482_length_15144_cov_104.445_ID_76129782.1	0	0	0	0	0	2	0	0	1	0	1	0	1	0	3	
evm.model.NODE_23991_length_11094_cov_73.8929_ID_76146842.1	0	6	2	8	0	5	3	5	0	0	0	4	2	2	7	
evm.model.NODE_28433_length_9567_cov_45.3496_ID_76155724.1	0	0	1	3	0	0	1	0	0	0	0	0	0	0	1	
evm.model.NODE_30393_length_8976_cov_52.147_ID_76159638.1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	
evm.model.NODE_30411_length_8971_cov_54.5511_ID_76159674.1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	
evm.model.NODE_33365_length_8162_cov_32.0427_ID_76165586.1	2	1	1	5	2	10	0	0	2	0	0	2	1	1	4	
evm.model.NODE_41089_length_6422_cov_35.4114_ID_76181048.1	0	2	0	3	1	2	2	0	0	0	0	0	0	1	2	
evm.model.NODE_46784_length_5382_cov_38.6411_ID_76192432.1	117	126	322	459	128	794	362	165	277	34	207	372	273	197	738	
evm.model.NODE_48809_length_5061_cov_38.9388_ID_76196474.1	155	181	465	676	195	1015	464	223	206	51	268	444	369	212	836	
evm.model.NODE_55750_length_4119_cov_33.5819_ID_76210348.1	0	1	3	3	0	2	0	0	0	2	0	3	0	0	2	
evm.model.NODE_56475_length_4032_cov_33.4638_ID_76211796.1	4	3	18	26	3	12	1	6	6	1	0	2	1	3	13	
evm.model.NODE_58002_length_3855_cov_63.5496_ID_76214848.1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	5	
evm.model.NODE_59145_length_3733_cov_320.129_ID_76217134.1	3	7	13	17	6	25	3	5	7	2	4	3	5	2	16	
evm.model.NODE_63957_length_3269_cov_42.0611_ID_76226744.1	0	1	3	6	0	4	0	2	2	0	4	1	0	0	1	
evm.model.NODE_66020_length_3088_cov_91.0267_ID_76230870.1	21	13	88	65	19	55	22	8	19	2	20	8	0	22	26	
evm.model.NODE_697_length_46912_cov_37.7418_ID_76100096.2	2	0	5	7	3	13	10	3	7	0	2	5	3	5	14	
evm.model.NODE_74471_length_2511_cov_62.5078_ID_76247784.1	20	32	53	51	33	116	53	22	34	7	24	31	25	32	79	
evm.model.NODE_76337_length_2398_cov_43.8657_ID_76251544.1	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0	
evm.model.NODE_87603_length_1920_cov_45.7886_ID_76274118.1	241	110	185	166	162	425	236	133	226	87	152	191	383	107	363	
evm.model.NODE_88216_length_1899_cov_36.048_ID_76275346.1	92	26	47	48	50	91	59	32	51	37	47	54	91	40	78	
evm.model.NODE_92646_length_1771_cov_153.805_ID_76284218.1	2	1	0	1	0	0	0	0	2	0	0	0	1	0	1	
evm.model.NODE_94196_length_1730_cov_100.358_ID_76287318.1	0	1	1	0	1	0	0	0	0	0	0	0	0	1	1	
evm.model.NODE_96741_length_1666_cov_57.9493_ID_76292420.1	51	28	68	91	49	167	88	40	66	18	46	95	56	38	139	
evm.model.NODE_99678_length_1598_cov_36.8899_ID_76298308.1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	
evm.model.scaffold_1.1	4	6	14	19	9	26	4	10	11	4	3	9	5	4	27	
evm.model.scaffold_1.2	3	0	1	4	1	3	0	1	1	0	2	1	0	0	1	
evm.model.scaffold_1.3	1	2	6	3	2	6	0	1	4	1	0	2	2	1	4	
evm.model.scaffold_1.4	1	3	16	18	3	25	6	2	4	3	0	7	0	8	20	
evm.model.scaffold_10.1	5	10	12	35	9	27	11	6	20	3	4	25	4	9	38	
evm.model.scaffold_10.2	6	14	17	41	16	45	12	7	11	4	5	11	4	18	59	
evm.model.scaffold_1000.1	1	0	0	1	0	2	1	0	0	0	0	0	0	0	0	
evm.model.scaffold_1000.2	3	1	12	12	3	18	2	3	4	2	1	4	0	2	12	
evm.model.scaffold_10001.1	4	5	8	20	6	32	13	11	11	3	9	10	4	6	32	
evm.model.scaffold_10002.1	0	0	0	1	0	1	0	1	1	0	0	0	0	1	0	
evm.model.scaffold_10003.1	2	0	0	2	0	1	0	1	1	0	0	1	0	0	0	
evm.model.scaffold_10003.4	0	1	1	1	0	1	0	0	2	0	0	0	0	1	1	
evm.model.scaffold_10005.1	1	5	13	17	2	24	4	1	8	1	4	9	2	0	20	
evm.model.scaffold_10005.2	0	1	0	8	1	2	3	3	2	0	0	6	0	0	7	
evm.model.scaffold_10005.3	1	2	1	1	5	5	7	0	2	0	3	3	1	1	7	
evm.model.scaffold_10006.1	2	2	17	16	3	35	3	3	16	0	5	3	1	3	21	
evm.model.scaffold_10006.2	3	0	8	14	2	7	2	3	1	2	1	3	2	1	14	
evm.model.scaffold_10006.4	0	1	1	4	0	3	0	0	1	0	1	0	0	0	4	
evm.model.scaffold_10008.1	1	2	9	6	1	6	1	0	2	1	0	4	1	0	10	
evm.model.scaffold_10008.4	0	7	2	9	0	5	0	2	2	2	0	1	1	3	8	
evm.model.scaffold_10008.5	2	2	7	7	1	9	4	0	2	1	1	3	2	3	7	
evm.model.scaffold_10008.7	1	2	4	5	0	11	0	4	2	1	0	4	0	2	6	
evm.model.scaffold_10008.8	0	0	0	1	1	0	0	0	0	0	0	0	1	0	1	
evm.model.scaffold_10009.1	1	2	4	1	1	6	2	1	4	0	2	1	1	1	3	
evm.model.scaffold_10009.3	0	1	1	1	2	6	2	2	3	0	1	1	2	0	8	
evm.model.scaffold_1001.1	2	0	3	2	3	1	0	2	4	0	1	5	1	1	5	
evm.model.scaffold_1001.2	1	1	3	2	0	5	2	0	1	0	0	1	1	1	2	
evm.model.scaffold_1001.3	0	0	7	7	3	6	3	4	6	1	3	5	0	2	13	
evm.model.scaffold_1001.4	0	1	2	5	1	1	1	0	2	0	0	0	0	0	9	
evm.model.scaffold_1001.5	3	2	4	9	4	12	3	4	0	3	5	1	0	3	15	
evm.model.scaffold_1001.6	0	0	1	4	1	11	3	1	3	0	0	2	0	2	4	
evm.model.scaffold_1001.7	6	4	22	33	10	44	10	12	16	3	3	18	4	5	28	
evm.model.scaffold_1001.9	1	3	2	7	2	7	1	0	2	1	7	2	0	0	5	
evm.model.scaffold_10010.1	3	3	8	22	4	30	8	3	6	4	0	11	0	4	19	
evm.model.scaffold_10010.2	6	9	28	28	5	36	10	7	10	5	2	17	2	7	30	
evm.model.scaffold_10010.3	1	8	7	25	4	31	8	2	7	4	2	7	3	2	26	
evm.model.scaffold_10011.1	5	14	15	48	7	31	8	7	16	3	6	24	7	9	29	
evm.model.scaffold_10011.3	3	5	14	8	5	19	2	5	6	3	4	3	1	2	18	
evm.model.scaffold_10012.1	1	0	0	0	0	1	0	2	1	0	0	0	0	0	1	
evm.model.scaffold_10012.2	0	0	2	1	0	5	0	0	0	0	2	1	0	0	3	
evm.model.scaffold_10012.3	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	
evm.model.scaffold_10016.1	1	0	2	2	0	2	2	4	3	0	1	1	1	0	5	
evm.model.scaffold_10022.1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	2	
evm.model.scaffold_10022.2	0	4	3	10	2	20	7	1	5	2	2	10	0	5	19	
evm.model.scaffold_10024.1	38	41	63	79	84	169	80	25	37	15	55	79	43	39	140	
evm.model.scaffold_10024.2	4	6	18	25	11	29	9	11	7	5	4	15	2	10	33	
evm.model.scaffold_10025.1	4	0	2	5	0	2	0	1	3	0	0	0	1	0	2	
evm.model.scaffold_10025.4	0	1	1	1	1	2	3	0	1	1	0	1	0	0	2	
evm.model.scaffold_10026.1	1	8	10	23	8	22	5	4	5	3	1	3	5	5	19	
evm.model.scaffold_10026.2	2	3	3	10	1	10	4	3	2	0	1	5	2	3	17	
evm.model.scaffold_10026.3	0	3	2	7	0	14	1	1	0	0	0	7	1	0	4	
evm.model.scaffold_10027.1	1	0	5	6	5	8	5	5	1	0	0	3	2	2	11	
evm.model.scaffold_10027.2	0	1	0	1	0	4	0	0	1	0	0	0	0	0	3	
evm.model.scaffold_10027.3	1	1	2	5	1	6	1	1	2	0	0	0	0	1	3	
evm.model.scaffold_10027.4	2	6	17	17	2	22	8	3	12	3	0	15	5	10	21	
evm.model.scaffold_10027.6	0	0	3	5	0	3	1	1	1	0	0	2	3	0	3	
evm.model.scaffold_10027.7	8	16	23	41	15	39	13	23	26	3	3	10	8	13	53	
evm.model.scaffold_10028.1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	3	
evm.model.scaffold_10028.3	0	0	1	0	1	2	0	1	0	0	0	0	0	1	2	
evm.model.scaffold_10029.1	2	2	1	10	5	4	3	2	2	3	3	11	2	2	8	
evm.model.scaffold_10029.2	7	5	21	24	6	37	8	4	5	4	4	5	4	2	30	
evm.model.scaffold_10029.3	1	2	20	23	5	26	6	8	4	2	2	7	4	1	15	
evm.model.scaffold_10029.5	0	3	11	13	4	13	7	3	7	7	6	3	14	1	17	
evm.model.scaffold_10029.7	6	15	13	44	2	33	8	2	11	3	5	9	9	5	36	
evm.model.scaffold_10029.8	5	1	3	10	4	6	3	0	1	1	0	3	0	2	15	
evm.model.scaffold_1003.1	1	4	11	15	4	15	2	6	7	0	3	8	3	1	18	
evm.model.scaffold_1003.2	0	1	1	3	0	0	0	0	0	0	0	1	0	0	2	
evm.model.scaffold_10030.1	2	4	18	17	3	16	12	5	9	1	1	5	4	6	32	
evm.model.scaffold_10030.2	1	0	9	6	2	1	2	3	2	0	1	2	0	3	4	
evm.model.scaffold_10031.1	0	1	5	7	0	4	0	2	1	0	1	0	0	0	4	
evm.model.scaffold_10031.2	5	4	12	17	5	19	5	2	5	0	8	0	1	3	19	
evm.model.scaffold_10031.3	0	0	1	2	0	2	0	0	1	0	0	0	1	1	2	
evm.model.scaffold_10031.5	0	0	1	4	1	1	0	0	2	1	1	0	1	0	6	
evm.model.scaffold_10032.1	4	2	6	7	3	15	4	5	6	2	1	5	2	4	11	
evm.model.scaffold_10033.1	3	3	7	22	2	21	5	2	3	3	2	7	0	5	24	
evm.model.scaffold_10033.2	1	4	2	13	2	9	7	1	1	2	2	8	1	2	15	
evm.model.scaffold_10034.1	0	5	11	16	3	29	9	8	6	2	1	5	3	1	20	
evm.model.scaffold_10034.2	1	0	5	7	1	5	3	1	4	0	1	2	0	2	5	
evm.model.scaffold_10037.1	13	8	19	44	11	47	10	12	14	6	2	17	8	5	36	
evm.model.scaffold_10037.2	11	11	15	26	10	39	34	18	16	3	5	21	4	8	17	
evm.model.scaffold_10037.3	2	0	4	6	2	15	2	0	5	0	3	7	4	2	9	
evm.model.scaffold_10037.4	8	10	15	55	8	46	24	18	7	2	7	16	5	6	37	
evm.model.scaffold_10037.5	0	0	2	0	0	2	0	0	1	0	0	0	0	0	0	
evm.model.scaffold_10037.6	0	0	0	5	1	4	0	1	1	0	0	1	0	2	6	
evm.model.scaffold_10038.1	4	9	16	31	6	34	8	7	9	7	1	8	5	7	20	
evm.model.scaffold_1004.1	0	0	2	7	0	10	2	1	3	0	0	2	1	0	4	
evm.model.scaffold_1004.2	1	3	7	14	0	16	3	1	6	0	4	6	4	3	11	
evm.model.scaffold_1004.3	7	8	15	43	4	49	19	10	12	1	9	22	6	8	53	
evm.model.scaffold_1004.4	0	0	2	1	0	3	0	0	0	0	0	3	0	1	1	
evm.model.scaffold_10040.1	0	1	1	3	1	8	1	0	0	1	2	0	0	1	1	
evm.model.scaffold_10041.1	4	2	10	12	4	13	0	1	3	3	6	8	0	3	10	
evm.model.scaffold_10041.3	15	11	28	53	29	75	20	14	22	9	10	31	11	12	80	
evm.model.scaffold_10041.5	2	3	4	7	2	14	3	1	4	0	2	3	0	2	9	
evm.model.scaffold_10041.6	0	1	1	3	0	5	2	1	0	0	0	0	0	0	3	
evm.model.scaffold_10041.7	0	1	1	2	1	8	1	1	0	1	1	2	0	0	11	
evm.model.scaffold_10042.2	4	1	5	7	2	6	2	1	3	2	0	1	0	2	5	
evm.model.scaffold_10042.3	4	3	3	1	4	3	0	2	2	0	1	0	0	0	8	
evm.model.scaffold_10042.4	1	0	0	0	0	3	0	0	1	0	0	0	0	0	0	
evm.model.scaffold_10042.5	0	0	0	1	0	3	0	1	2	0	0	0	2	0	6	
evm.model.scaffold_10043.1	0	1	0	3	0	2	0	0	1	1	0	3	0	0	6	
evm.model.scaffold_10043.2	2	1	6	5	4	6	2	3	5	1	1	5	2	0	9	
evm.model.scaffold_10043.4	0	0	3	2	0	3	0	2	3	0	0	3	0	0	7	
evm.model.scaffold_10045.1	2	1	9	6	2	13	5	3	1	3	0	0	1	0	6	
evm.model.scaffold_10046.1	0	1	1	4	2	0	0	2	1	0	1	2	0	1	2	
evm.model.scaffold_10046.2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	
evm.model.scaffold_10048.1	0	1	3	2	1	4	0	0	3	0	1	0	0	0	5	
evm.model.scaffold_10049.1	0	0	0	2	0	1	0	1	0	0	1	0	0	0	0	
evm.model.scaffold_10050.1	1	0	1	3	0	1	0	1	0	1	0	0	0	0	5	
evm.model.scaffold_10050.2	0	0	0	3	0	1	0	0	0	0	0	0	1	1	2	
evm.model.scaffold_10051.1	0	2	0	2	1	2	0	1	0	0	1	0	0	0	2	
evm.model.scaffold_10051.2	0	0	1	1	0	0	0	0	2	0	1	1	2	0	1	
evm.model.scaffold_10052.1	0	1	2	0	0	1	0	0	1	1	0	0	0	0	2	
evm.model.scaffold_10052.2	0	1	5	8	2	12	2	2	0	1	1	2	2	1	4	
evm.model.scaffold_10053.2	2	3	7	5	2	12	2	2	8	1	2	1	0	3	7	
evm.model.scaffold_10053.4	0	2	3	3	0	5	0	2	1	0	0	1	0	1	0	
evm.model.scaffold_10053.5	2	1	3	4	2	5	1	6	5	0	0	3	0	0	10	
evm.model.scaffold_10053.6	1	0	3	5	0	5	1	3	6	0	3	2	0	3	6	
evm.model.scaffold_10054.1	0	0	0	2	1	3	2	1	2	0	3	0	0	1	3	
evm.model.scaffold_10055.1	0	2	1	1	1	5	1	0	2	1	0	0	0	1	4	
evm.model.scaffold_10056.1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	
evm.model.scaffold_10056.2	1	0	1	2	0	2	0	3	2	0	0	0	0	0	6	
evm.model.scaffold_10056.5	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	
evm.model.scaffold_10056.6	0	0	1	0	0	2	0	0	0	2	0	1	0	0	3	
evm.model.scaffold_1006.1	6	1	8	6	2	8	1	1	3	1	0	1	2	5	10	
evm.model.scaffold_10060.1	48	39	59	98	61	164	64	21	62	11	53	45	32	30	85	
evm.model.scaffold_10060.2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	
evm.model.scaffold_10061.1	1	5	9	12	3	23	2	8	7	0	3	4	1	3	21	
evm.model.scaffold_10062.2	4	3	9	9	4	29	1	4	6	0	1	4	0	1	17	
evm.model.scaffold_10062.3	13	5	13	19	10	37	15	3	11	1	18	11	5	3	21	
evm.model.scaffold_10066.1	0	1	7	2	0	1	0	1	1	0	1	1	0	2	4	
evm.model.scaffold_10068.2	0	1	0	2	0	0	0	0	0	0	0	0	0	0	1	
