	SRR14729874.clean.fastq.gz.sam.counts	SRR14729875.clean.fastq.gz.sam.counts	SRR14729876.clean.fastq.gz.sam.counts	SRR14729877.clean.fastq.gz.sam.counts	SRR14729879.clean.fastq.gz.sam.counts	SRR14729880.clean.fastq.gz.sam.counts	SRR14729882.clean.fastq.gz.sam.counts	SRR14729883.clean.fastq.gz.sam.counts	SRR14729884.clean.fastq.gz.sam.counts	SRR14729885.clean.fastq.gz.sam.counts	SRR14729886.clean.fastq.gz.sam.counts	SRR14729887.clean.fastq.gz.sam.counts	SRR14729888.clean.fastq.gz.sam.counts	SRR14729891.clean.fastq.gz.sam.counts	SRR14729892.clean.fastq.gz.sam.counts	
Porites_compressa_HIv1___RNAseq.10026_t	83	3	9	28	62	35	25	68	44	20	42	28	29	7	13	
Porites_compressa_HIv1___RNAseq.10133_t	15	1	2	60	0	27	0	5	5	2	9	2	8	2	17	
Porites_compressa_HIv1___RNAseq.10137_t	1	0	0	2	1	1	0	4	5	0	0	0	1	0	2	
Porites_compressa_HIv1___RNAseq.10186_t	314	105	264	396	469	384	241	160	304	220	334	247	222	213	206	
Porites_compressa_HIv1___RNAseq.10272_t	134	21	24	29	101	35	43	14	48	37	20	12	4	10	10	
Porites_compressa_HIv1___RNAseq.10306_t	548	86	333	134	438	12	68	79	567	317	309	137	438	5	175	
Porites_compressa_HIv1___RNAseq.10337_t	24	0	1	0	0	3	1	0	2	0	0	1	0	2	1	
Porites_compressa_HIv1___RNAseq.10360_t	1	0	4	10	3	21	50	3	4	3	10	10	3	0	6	
Porites_compressa_HIv1___RNAseq.10364_t	15	3	4	20	2	7	8	2	13	1	17	3	10	9	10	
Porites_compressa_HIv1___RNAseq.10383_t	1	0	2	1	1	1	1	6	0	1	4	0	0	0	1	
Porites_compressa_HIv1___RNAseq.10392_t	6	3	3	29	10	6	22	5	9	6	9	0	4	3	7	
Porites_compressa_HIv1___RNAseq.10483_t	109	53	85	106	76	99	128	75	97	83	88	96	86	50	67	
Porites_compressa_HIv1___RNAseq.10550_t	250	211	194	217	198	953	277	278	185	152	349	106	176	57	109	
Porites_compressa_HIv1___RNAseq.10585_t	9647	4729	6591	3209	6845	5597	6858	3559	8832	5788	5313	3295	5736	4081	3659	
Porites_compressa_HIv1___RNAseq.10657_t	20	5	33	4	28	98	62	29	8	56	77	37	4	40	37	
Porites_compressa_HIv1___RNAseq.10692_t	73	10	28	55	21	92	61	35	56	37	36	24	23	31	45	
Porites_compressa_HIv1___RNAseq.10743_t	7	1	4	19	7	65	11	3	5	0	9	0	2	12	7	
Porites_compressa_HIv1___RNAseq.10829_t	3	0	0	1	2	0	0	2	0	0	3	0	0	0	0	
Porites_compressa_HIv1___RNAseq.1084_t	23	6	3	3	6	38	322	3	10	10	5	5	24	6	12	
Porites_compressa_HIv1___RNAseq.10891_t	119	24	62	189	81	241	60	101	72	58	188	70	143	78	152	
Porites_compressa_HIv1___RNAseq.1105_t	298	70	242	338	355	577	381	150	339	148	245	214	172	285	364	
Porites_compressa_HIv1___RNAseq.11069_t	78	56	123	65	75	76	234	58	157	69	141	85	43	72	55	
Porites_compressa_HIv1___RNAseq.11199_t	4	2	0	20	2	7	1	2	1	1	4	7	3	14	12	
Porites_compressa_HIv1___RNAseq.11230_t	294	85	290	736	439	428	390	231	478	263	433	215	291	294	294	
Porites_compressa_HIv1___RNAseq.11257_t	137	75	99	153	119	176	158	72	120	88	142	92	105	105	99	
Porites_compressa_HIv1___RNAseq.11308_t	14	1	0	1	2	0	2	0	0	8	1	2	2	0	1	
Porites_compressa_HIv1___RNAseq.11352_t	0	1	0	0	0	0	2	0	1	0	0	2	0	0	0	
Porites_compressa_HIv1___RNAseq.11399_t	3782	769	2373	2508	2441	2588	2353	1378	3757	2166	2848	1779	2217	836	1196	
Porites_compressa_HIv1___RNAseq.11523_t	287	75	250	710	184	388	234	147	234	153	249	158	222	363	286	
Porites_compressa_HIv1___RNAseq.11598_t	123	40	113	210	119	135	112	57	99	69	132	78	72	108	137	
Porites_compressa_HIv1___RNAseq.11611_t	76	17	54	57	60	80	103	44	68	36	70	44	65	38	40	
